AUT,CAN,DNK,ENG,FIN,FRA,ITA,JPN,NLD,NOR,ESP,SWE,SWI,USA
0,6567,870,1235,1439,950,840,8291,840,1351,1351,1429,485,8365
6567,0,5906,5362,6268,3509,7727,4848,6475,5871,7056,6236,7056,2262
870,5906,0,956,1120,1166,1616,8677,522,688,1915,688,1055,6873
1235,5362,956,0,2051,37,1137,10541,442,698,1053,1433,698,6346
1439,6268,1120,2051,0,2457,2502,7514,1184,433,2948,433,2016,7844
950,3509,1166,37,2457,0,959,8605,694,1886,802,1886,613,7685
840,7727,1616,1137,2502,959,0,8618,534,2073,855,2073,698,8631
8291,4848,8677,10541,7514,8605,8618,0,9208,8457,10672,7995,9549,10173
840,6475,522,442,1184,694,534,9208,0,949,1473,1213,613,7525
1351,5871,688,698,433,1886,2073,8457,949,0,2380,563,1520,7205
1351,7056,1915,1053,2948,802,855,10672,1473,2380,0,2295,1138,7607
1429,6236,688,1433,433,1886,2073,7995,1213,563,2295,0,1526,7687
485,7056,1055,698,2016,613,698,9549,613,1520,1138,1526,0,8031
8365,2262,6873,6346,7844,7685,8631,10173,7525,7205,7607,7687,8031,0
